web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1766321157-161","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 26, 2025","2,390.00","2,450.00","2,320.00","2,400.00","2,381.53","91,111,400"
"1766321157-162","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 25, 2025","2,130.00","2,380.00","2,100.00","2,370.00","2,351.76","135,533,700"
"1766321157-163","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 24, 2025","2,100.00","2,190.00","2,020.00","2,110.00","2,093.76","99,320,800"
"1766321157-164","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 21, 2025","2,150.00","2,150.00","2,000.00","2,080.00","2,063.99","123,659,600"
"1766321157-165","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 20, 2025","2,430.00","2,440.00","2,170.00","2,180.00","2,163.22","120,690,300"
"1766321157-166","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 19, 2025","2,450.00","2,470.00","2,380.00","2,420.00","2,401.37","33,851,100"
"1766321157-167","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 18, 2025","2,520.00","2,520.00","2,330.00","2,450.00","2,431.14","29,284,500"
"1766321157-168","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 17, 2025","2,550.00","2,550.00","2,490.00","2,510.00","2,490.68","12,883,300"
"1766321157-169","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 14, 2025","2,550.00","2,560.00","2,520.00","2,530.00","2,510.53","11,556,900"
"1766321157-170","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 13, 2025","2,560.00","2,590.00","2,530.00","2,550.00","2,530.37","31,052,800"
"1766321157-171","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 12, 2025","2,520.00","2,550.00","2,510.00","2,540.00","2,520.45","23,311,300"
"1766321157-172","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 11, 2025","2,530.00","2,540.00","2,480.00","2,510.00","2,490.68","24,071,600"
"1766321157-173","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 10, 2025","2,580.00","2,600.00","2,550.00","2,570.00","2,550.22","21,969,600"
"1766321157-174","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 7, 2025","2,610.00","2,610.00","2,560.00","2,580.00","2,560.14","33,351,100"
"1766321157-175","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 6, 2025","2,600.00","2,640.00","2,590.00","2,610.00","2,589.91","39,576,700"
"1766321157-176","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 5, 2025","2,550.00","2,660.00","2,550.00","2,570.00","2,550.22","51,731,600"
"1766321157-177","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 4, 2025","2,660.00","2,670.00","2,510.00","2,550.00","2,530.37","37,555,500"
"1766321157-178","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Mar 3, 2025","2,560.00","2,680.00","2,560.00","2,660.00","2,639.53","70,438,200"
"1766321157-179","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 28, 2025","2,630.00","2,630.00","2,430.00","2,500.00","2,480.76","74,095,400"
"1766321157-180","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 27, 2025","2,870.00","2,900.00","2,620.00","2,630.00","2,609.76","83,529,800"
"1766321157-181","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 26, 2025","2,990.00","3,020.00","2,830.00","2,870.00","2,847.91","22,816,300"
"1766321157-182","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 25, 2025","3,070.00","3,100.00","2,980.00","2,990.00","2,966.99","18,359,400"
"1766321157-183","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 24, 2025","3,030.00","3,070.00","2,990.00","3,070.00","3,046.37","18,359,200"
"1766321157-184","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 21, 2025","2,930.00","3,030.00","2,900.00","3,030.00","3,006.68","16,940,000"
"1766321157-185","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Feb 20, 2025","2,990.00","3,020.00","2,930.00","2,930.00","2,907.45","17,541,400"
