web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972550-124","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 24, 2025","4,160.00","4,210.00","4,140.00","4,140.00","4,140.00","51,925,200"
"1765972550-125","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 23, 2025","4,060.00","4,100.00","3,970.00","4,060.00","4,060.00","53,486,300"
"1765972550-126","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 20, 2025","4,120.00","4,140.00","4,050.00","4,110.00","4,110.00","178,503,500"
"1765972550-127","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 19, 2025","4,300.00","4,300.00","4,100.00","4,130.00","4,130.00","87,781,700"
"1765972550-128","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 18, 2025","4,350.00","4,360.00","4,250.00","4,300.00","4,300.00","40,711,200"
"1765972550-129","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 17, 2025","4,400.00","4,420.00","4,350.00","4,360.00","4,360.00","44,876,400"
"1765972550-130","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 16, 2025","4,490.00","4,490.00","4,360.00","4,400.00","4,400.00","90,223,800"
"1765972550-131","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 13, 2025","4,480.00","4,540.00","4,450.00","4,540.00","4,540.00","30,548,300"
"1765972550-132","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 12, 2025","4,530.00","4,540.00","4,480.00","4,540.00","4,540.00","29,571,100"
"1765972550-133","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 11, 2025","4,530.00","4,540.00","4,480.00","4,540.00","4,540.00","35,008,700"
"1765972550-134","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 10, 2025","4,470.00","4,520.00","4,450.00","4,520.00","4,520.00","45,818,600"
"1765972550-135","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 5, 2025","4,310.00","4,420.00","4,310.00","4,420.00","4,420.00","36,143,400"
"1765972550-136","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 4, 2025","4,420.00","4,420.00","4,300.00","4,300.00","4,300.00","35,499,900"
"1765972550-137","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 3, 2025","4,350.00","4,380.00","4,260.00","4,370.00","4,370.00","42,954,800"
"1765972550-138","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jun 2, 2025","4,480.00","4,480.00","4,300.00","4,370.00","4,370.00","68,993,300"
"1765972550-139","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 28, 2025","4,520.00","4,540.00","4,470.00","4,490.00","4,490.00","63,745,800"
"1765972550-140","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 27, 2025","4,500.00","4,530.00","4,460.00","4,530.00","4,530.00","40,871,300"
"1765972550-141","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 26, 2025","4,510.00","4,520.00","4,420.00","4,500.00","4,500.00","36,713,800"
"1765972550-142","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 23, 2025","4,510.00","4,520.00","4,480.00","4,510.00","4,510.00","21,621,500"
"1765972550-143","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 22, 2025","4,520.00","4,540.00","4,470.00","4,470.00","4,470.00","42,314,700"
"1765972550-144","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 21, 2025","4,480.00","4,580.00","4,470.00","4,520.00","4,520.00","79,967,600"
"1765972550-145","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 20, 2025","4,460.00","4,570.00","4,420.00","4,450.00","4,450.00","81,048,500"
"1765972550-146","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 19, 2025","4,480.00","4,520.00","4,430.00","4,460.00","4,460.00","60,120,200"
"1765972550-147","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 16, 2025","4,530.00","4,530.00","4,360.00","4,500.00","4,500.00","88,956,700"
"1765972550-148","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 15, 2025","4,390.00","4,530.00","4,390.00","4,500.00","4,500.00","120,598,100"
"1765972550-149","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 14, 2025","4,180.00","4,370.00","4,160.00","4,370.00","4,370.00","179,465,400"
"1765972550-150","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 9, 2025","4,120.00","4,140.00","4,060.00","4,100.00","4,100.00","37,787,800"
"1765972550-151","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 8, 2025","4,160.00","4,220.00","4,080.00","4,120.00","4,120.00","77,995,600"
"1765972550-152","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 7, 2025","4,190.00","4,200.00","4,140.00","4,160.00","4,160.00","57,689,300"
"1765972550-153","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 6, 2025","4,220.00","4,230.00","4,170.00","4,180.00","4,180.00","66,444,400"
"1765972550-154","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 5, 2025","4,210.00","4,280.00","4,180.00","4,210.00","4,210.00","60,392,100"
"1765972550-155","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","May 2, 2025","4,220.00","4,230.00","4,160.00","4,200.00","4,200.00","81,966,800"
"1765972550-156","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 30, 2025","4,160.00","4,180.00","4,080.00","4,180.00","4,180.00","85,510,000"
"1765972550-157","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 29, 2025","4,210.00","4,220.00","4,120.00","4,140.00","4,140.00","61,824,000"
"1765972550-158","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 28, 2025","4,210.00","4,250.00","4,170.00","4,190.00","4,190.00","68,481,300"
"1765972550-159","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 25, 2025","4,200.00","4,210.00","4,140.00","4,200.00","4,200.00","102,065,100"
"1765972550-160","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 24, 2025","4,200.00","4,250.00","4,120.00","4,170.00","4,170.00","145,433,700"
"1765972550-161","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 23, 2025","4,080.00","4,170.00","4,030.00","4,150.00","4,150.00","128,948,700"
"1765972550-162","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 22, 2025","3,990.00","4,050.00","3,960.00","4,010.00","4,010.00","84,001,100"
"1765972550-163","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 21, 2025","4,040.00","4,050.00","3,950.00","3,990.00","3,990.00","67,071,400"
"1765972550-164","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 17, 2025","4,110.00","4,150.00","4,040.00","4,040.00","4,040.00","68,392,500"
"1765972550-165","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Apr 16, 2025","4,280.00","4,290.00","4,090.00","4,100.00","4,100.00","109,735,100"
